id,volume,rel_path,src,score,signals
Modellierung_2022_WS/paper10,Modellierung_2022_WS,Modellierung_2022_WS/paper10.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\Modellierung_2022_WS\paper10.pdf,2.0,"{""artifact_vocab"": 2}"
lni299/GIL_2020_Weller-von-Ahlefeld_343-348,lni299,lni299/GIL_2020_Weller-von-Ahlefeld_343-348.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni299\GIL_2020_Weller-von-Ahlefeld_343-348.pdf,2.0,"{""artifact_vocab"": 2}"
lni90/GI-Proceedings-90-12,lni90,lni90/GI-Proceedings-90-12.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni90\GI-Proceedings-90-12.pdf,9.0,"{""source_vocab"": 3, ""artifact_vocab"": 3}"
lni51/GI-Proceedings.51-69,lni51,lni51/GI-Proceedings.51-69.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni51\GI-Proceedings.51-69.pdf,1.0,"{""artifact_vocab"": 1}"
lni1/12,lni1,lni1/12.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni1\12.pdf,8.0,"{""source_vocab"": 2, ""artifact_vocab"": 3, ""prog_lang"": 1}"
lni350/proceedings-04,lni350,lni350/proceedings-04.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni350\proceedings-04.pdf,2.0,"{""artifact_vocab"": 2}"
lni337/03_02_07_Steinert,lni337,lni337/03_02_07_Steinert.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni337\03_02_07_Steinert.pdf,3.0,"{""artifact_vocab"": 3}"
lni300/B5-01,lni300,lni300/B5-01.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni300\B5-01.pdf,3.0,"{""artifact_vocab"": 3}"
lni177/267,lni177,lni177/267.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni177\267.pdf,9.0,"{""source_vocab"": 3, ""artifact_vocab"": 3}"
lni33/GI-Proceedings.33-1,lni33,lni33/GI-Proceedings.33-1.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni33\GI-Proceedings.33-1.pdf,9.0,"{""source_vocab"": 3, ""artifact_vocab"": 3}"
lni138/165,lni138,lni138/165.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni138\165.pdf,0.0,{}
lni223/43,lni223,lni223/43.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni223\43.pdf,18.0,"{""availability"": 2, ""source_vocab"": 3, ""artifact_vocab"": 3, ""prog_lang"": 1}"
lni23/GI-Proceedings.23-3,lni23,lni23/GI-Proceedings.23-3.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni23\GI-Proceedings.23-3.pdf,7.0,"{""source_vocab"": 2, ""artifact_vocab"": 3}"
lni82/GI-Proceedings-82-11,lni82,lni82/GI-Proceedings-82-11.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni82\GI-Proceedings-82-11.pdf,5.0,"{""source_vocab"": 1, ""artifact_vocab"": 2, ""prog_lang"": 1}"
lni54/GI-Proceedings.54-3,lni54,lni54/GI-Proceedings.54-3.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni54\GI-Proceedings.54-3.pdf,1.0,"{""artifact_vocab"": 1}"
lni176/305,lni176,lni176/305.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni176\305.pdf,8.0,"{""source_vocab"": 3, ""artifact_vocab"": 2}"
lni29/GI-Proceedings.29-13,lni29,lni29/GI-Proceedings.29-13.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni29\GI-Proceedings.29-13.pdf,0.0,{}
lni154/273,lni154,lni154/273.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni154\273.pdf,0.0,{}
lni68/GI-Proceedings.68-139,lni68,lni68/GI-Proceedings.68-139.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni68\GI-Proceedings.68-139.pdf,0.0,{}
lni52/GI.-.Proceedings.52-4,lni52,lni52/GI.-.Proceedings.52-4.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni52\GI.-.Proceedings.52-4.pdf,21.0,"{""repo_url"": 1, ""availability"": 1, ""source_vocab"": 3, ""artifact_vocab"": 3, ""prog_lang"": 3}"
lni19/GI-Proceedings.19-103,lni19,lni19/GI-Proceedings.19-103.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni19\GI-Proceedings.19-103.pdf,2.0,"{""source_vocab"": 1}"
lni329/30-BIOSIG_2022_paper_20,lni329,lni329/30-BIOSIG_2022_paper_20.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni329\30-BIOSIG_2022_paper_20.pdf,7.0,"{""availability"": 1, ""artifact_vocab"": 3}"
lni318/swm2021-04,lni318,lni318/swm2021-04.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni318\swm2021-04.pdf,10.0,"{""source_vocab"": 3, ""artifact_vocab"": 3, ""prog_lang"": 1}"
lni154/354,lni154,lni154/354.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni154\354.pdf,2.0,"{""artifact_vocab"": 2}"
lni360/B6-2,lni360,lni360/B6-2.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni360\B6-2.pdf,7.0,"{""availability"": 1, ""source_vocab"": 1, ""artifact_vocab"": 1}"
lni300/B5-03,lni300,lni300/B5-03.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni300\B5-03.pdf,5.0,"{""source_vocab"": 1, ""artifact_vocab"": 3}"
lni366/Faehndrich_et_al,lni366,lni366/Faehndrich_et_al.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni366\Faehndrich_et_al.pdf,20.0,"{""repo_url"": 1, ""availability"": 2, ""source_vocab"": 2, ""artifact_vocab"": 3}"
lni299/GIL_2020_Stoinescu_307-312,lni299,lni299/GIL_2020_Stoinescu_307-312.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni299\GIL_2020_Stoinescu_307-312.pdf,7.0,"{""source_vocab"": 2, ""artifact_vocab"": 3}"
312/proceedings-04,312,312/proceedings-04.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\312\proceedings-04.pdf,18.0,"{""repo_url"": 1, ""availability"": 1, ""source_vocab"": 3, ""artifact_vocab"": 3}"
lni192/159,lni192,lni192/159.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni192\159.pdf,1.0,"{""artifact_vocab"": 1}"
lni103/172,lni103,lni103/172.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni103\172.pdf,14.0,"{""availability"": 1, ""source_vocab"": 3, ""artifact_vocab"": 3, ""prog_lang"": 1}"
lni71/GI-Proceedings.71-13,lni71,lni71/GI-Proceedings.71-13.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni71\GI-Proceedings.71-13.pdf,7.0,"{""source_vocab"": 2, ""artifact_vocab"": 3}"
